Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,,2022-10-19,23-230,WAS,@,IND,W (+7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,,2022-10-21,23-232,WAS,,CHI,W (+2),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,,2022-10-23,23-234,WAS,@,CLE,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,,2022-10-25,23-236,WAS,,DET,W (+21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,,2022-10-28,23-239,WAS,,IND,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,,2022-10-30,23-241,WAS,@,BOS,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,,2022-10-31,23-242,WAS,,PHI,L (-7),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,,2022-11-02,23-244,WAS,@,PHI,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
56,48,2023-02-13,23-347,WAS,@,GSW,L (-9),1,21:43,2,4,.500,0,2,.000,0,0,,0,1,1,0,2,1,1,2,4,3.2,-4
57,49,2023-02-14,23-348,WAS,@,POR,W (+25),0,18:28,2,4,.500,1,3,.333,0,0,,0,3,3,0,0,0,0,2,5,3.1,+9
58,50,2023-02-16,23-350,WAS,@,MIN,W (+8),0,32:03,5,7,.714,4,6,.667,1,1,1.000,0,3,3,0,0,0,2,0,15,11.0,+9
59,51,2023-02-24,23-358,WAS,,NYK,L (-6),0,17:59,1,2,.500,1,2,.500,0,0,,0,1,1,0,0,0,0,0,3,2.3,-1
60,52,2023-02-26,23-360,WAS,@,CHI,L (-20),0,24:26,3,9,.333,1,7,.143,0,0,,1,2,3,2,1,0,0,1,7,5.2,-6
61,53,2023-02-28,23-362,WAS,@,ATL,W (+3),0,24:54,3,7,.429,3,5,.600,0,0,,1,5,6,0,0,0,0,1,9,7.1,-1
62,54,2023-03-02,23-364,WAS,,TOR,W (+11),0,23:54,4,6,.667,2,4,.500,0,0,,0,3,3,1,0,0,1,0,10,8.0,+19
63,55,2023-03-04,24-001,WAS,,TOR,L (-7),0,35:11,4,4,1.000,4,4,1.000,0,0,,0,4,4,1,0,0,1,1,12,11.3,-2
64,56,2023-03-05,24-002,WAS,,MIL,L (-6),0,35:35,4,8,.500,3,7,.429,0,0,,0,3,3,2,0,0,0,0,11,9.3,-6
65,57,2023-03-07,24-004,WAS,@,DET,W (+2),0,32:07,6,7,.857,4,5,.800,0,0,,1,1,2,1,0,0,0,0,16,15.2,+4
66,58,2023-03-08,24-005,WAS,,ATL,L (-2),0,32:22,4,6,.667,2,4,.500,0,0,,0,1,1,0,0,0,0,2,10,6.9,-6
67,59,2023-03-10,24-007,WAS,,ATL,L (-7),0,22:10,3,7,.429,1,5,.200,0,0,,0,2,2,1,0,1,1,2,7,3.5,-16
68,60,2023-03-12,24-009,WAS,@,PHI,L (-19),0,33:11,9,13,.692,3,7,.429,4,4,1.000,0,3,3,1,0,0,0,1,25,20.7,-2
69,61,2023-03-14,24-011,WAS,,DET,W (+20),1,33:32,6,14,.429,2,8,.250,2,2,1.000,1,1,2,0,1,0,1,1,16,9.2,+11
70,62,2023-03-17,24-014,WAS,@,CLE,L (-23),0,27:46,5,6,.833,2,3,.667,0,0,,1,1,2,0,0,0,0,2,12,10.0,-9
71,63,2023-03-18,24-015,WAS,,SAC,L (-14),1,30:18,5,12,.417,3,8,.375,0,0,,3,2,5,3,0,0,1,1,13,10.0,-23
72,64,2023-03-21,24-018,WAS,@,ORL,L (-10),1,35:30,4,9,.444,1,5,.200,0,0,,0,4,4,3,0,0,2,4,9,4.0,-12
73,65,2023-03-22,24-019,WAS,,DEN,L (-14),1,30:34,3,10,.300,1,7,.143,2,2,1.000,1,2,3,2,0,0,0,0,9,5.9,-12
74,66,2023-03-24,24-021,WAS,,SAS,W (+12),1,36:17,9,14,.643,6,9,.667,2,5,.400,0,5,5,2,0,1,1,2,26,20.4,0
75,67,2023-03-26,24-023,WAS,@,TOR,L (-10),1,39:55,7,16,.438,5,11,.455,0,0,,0,3,3,0,0,0,4,2,19,6.7,-23
76,68,2023-03-28,24-025,WAS,,BOS,W (+19),1,33:11,5,11,.455,3,6,.500,2,2,1.000,1,1,2,2,0,0,0,2,15,10.9,+14
77,69,2023-03-31,24-028,WAS,,ORL,L (-7),1,41:52,9,14,.643,9,14,.643,0,0,,0,3,3,0,0,0,0,3,27,20.5,
78,70,2023-04-02,24-030,WAS,@,NYK,L (-9),1,34:04,10,19,.526,4,11,.364,5,5,1.000,0,3,3,0,0,0,1,1,29,19.2,-17
79,71,2023-04-04,24-032,WAS,,MIL,L (-12),1,34:02,6,15,.400,0,4,.000,0,0,,2,2,4,1,0,0,0,1,12,6.2,-14
80,72,2023-04-05,24-033,WAS,@,ATL,L (-18),1,28:03,5,12,.417,2,8,.250,0,2,.000,0,2,2,1,1,0,1,3,12,4.9,-9
81,73,2023-04-07,24-035,WAS,,MIA,W (+6),1,34:02,5,12,.417,3,9,.333,6,6,1.000,0,3,3,1,0,1,2,0,19,12.9,+4
82,74,2023-04-09,24-037,WAS,,HOU,L (-5),1,12:18,6,8,.750,5,7,.714,1,1,1.000,1,2,3,1,0,0,0,0,18,16.8,+4
