Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
66,47,2023-03-08,24-136,WAS,,ATL,L (-2),0,0:01,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
67,48,2023-03-10,24-138,WAS,,ATL,L (-7),0,6:38,0,3,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-2.1,-5
68,,2023-03-12,24-140,WAS,@,PHI,L (-19),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
69,49,2023-03-14,24-142,WAS,,DET,W (+20),0,12:36,1,3,.333,0,1,.000,0,0,,0,2,2,0,0,0,1,2,2,-0.9,-6
70,50,2023-03-17,24-145,WAS,@,CLE,L (-23),0,3:55,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3
71,51,2023-03-18,24-146,WAS,,SAC,L (-14),0,5:30,3,5,.600,2,3,.667,0,0,,0,1,1,1,1,0,0,0,8,7.7,+8
72,52,2023-03-21,24-149,WAS,@,ORL,L (-10),0,19:06,2,4,.500,0,2,.000,3,5,.600,1,2,3,3,1,0,0,3,7,7.4,+2
73,53,2023-03-22,24-150,WAS,,DEN,L (-14),0,18:16,5,8,.625,0,3,.000,2,2,1.000,0,4,4,1,0,0,1,1,12,8.9,-4
74,54,2023-03-24,24-152,WAS,,SAS,W (+12),0,30:34,6,11,.545,1,4,.250,4,5,.800,2,3,5,5,2,0,0,1,17,18.7,+17
75,55,2023-03-26,24-154,WAS,@,TOR,L (-10),0,20:27,4,9,.444,1,3,.333,0,0,,1,3,4,2,0,1,2,1,9,5.6,-11
76,56,2023-03-28,24-156,WAS,,BOS,W (+19),0,11:15,1,3,.333,0,1,.000,0,0,,0,0,0,3,1,0,0,0,2,3.4,-6
77,57,2023-03-31,24-159,WAS,,ORL,L (-7),0,17:44,2,9,.222,1,5,.200,2,2,1.000,2,3,5,5,1,0,2,1,7,5.9,
78,58,2023-04-02,24-161,WAS,@,NYK,L (-9),0,24:32,5,11,.455,1,3,.333,0,0,,3,4,7,6,1,0,0,2,11,13.0,-2
79,59,2023-04-04,24-163,WAS,,MIL,L (-12),1,28:11,6,16,.375,2,4,.500,0,0,,1,3,4,9,0,1,3,2,14,10.0,-12
80,60,2023-04-05,24-164,WAS,@,ATL,L (-18),1,29:29,4,10,.400,0,3,.000,2,2,1.000,0,2,2,6,4,1,1,2,10,12.3,-10
81,61,2023-04-07,24-166,WAS,,MIA,W (+6),0,19:45,3,9,.333,0,3,.000,0,0,,2,7,9,4,0,0,1,0,6,6.2,+7
82,62,2023-04-09,24-168,WAS,,HOU,L (-5),1,29:33,8,14,.571,3,8,.375,3,4,.750,0,5,5,5,2,1,4,3,22,17.5,+2
