Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
48,30,2023-01-25,37-215,WAS,@,HOU,W (+5),0,8:27,1,2,.500,0,0,,0,0,,1,0,1,1,1,0,0,3,2,2.2,-3
49,31,2023-01-28,37-218,WAS,@,NOP,W (+10),0,17:20,4,6,.667,0,1,.000,1,2,.500,5,5,10,3,0,1,2,4,9,10.2,+3
50,32,2023-01-30,37-220,WAS,@,SAS,W (+21),0,17:57,2,4,.500,0,0,,0,0,,0,1,1,4,0,0,0,3,4,3.9,+12
51,,2023-02-03,37-224,WAS,,POR,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
52,33,2023-02-04,37-225,WAS,@,BRK,L (-2),0,0:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,
53,34,2023-02-06,37-227,WAS,,CLE,L (-23),0,12:31,3,6,.500,0,0,,0,0,,1,2,3,0,1,1,0,2,6,5.2,+2
54,35,2023-02-08,37-229,WAS,,CHO,W (+14),0,5:41,1,1,1.000,0,0,,1,1,1.000,1,2,3,1,0,1,0,0,3,5.4,+2
55,,2023-02-11,37-232,WAS,,IND,W (+14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
56,,2023-02-13,37-234,WAS,@,GSW,L (-9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
57,36,2023-02-14,37-235,WAS,@,POR,W (+25),0,11:14,2,3,.667,1,1,1.000,1,2,.500,0,1,1,0,0,0,0,0,6,4.6,+10
58,,2023-02-16,37-237,WAS,@,MIN,W (+8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
59,37,2023-02-24,37-245,WAS,,NYK,L (-6),0,13:17,0,2,.000,0,1,.000,0,0,,0,4,4,0,0,0,0,2,0,-1.0,+9
60,38,2023-02-26,37-247,WAS,@,CHI,L (-20),0,12:28,1,2,.500,0,0,,1,2,.500,1,2,3,2,0,0,1,2,3,2.5,+1
61,39,2023-02-28,37-249,WAS,@,ATL,W (+3),0,13:33,2,4,.500,0,2,.000,1,2,.500,1,4,5,0,0,0,1,0,5,3.5,-1
