MP,GS,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Date,TSA,TS,Player_Name,percentage_of_TS
31.0,1.0,4.0,12.0,0.333,1.0,3.0,0.333,5.0,7.0,0.714,0.0,5.0,5.0,2.0,2.0,2.0,0.0,3.0,14.0,11.5,2023-02-16,0.4641909814323607,19.0,kristaps_porzingis,0.29128074097732354
35.0,1.0,5.0,10.0,0.5,5.0,9.0,0.556,8.0,8.0,1.0,1.0,5.0,6.0,3.0,0.0,2.0,3.0,2.0,23.0,19.9,2023-02-24,0.8505917159763314,18.0,kristaps_porzingis,0.29741824440619624
35.0,1.0,8.0,12.0,0.667,2.0,4.0,0.5,7.0,7.0,1.0,1.0,4.0,5.0,2.0,1.0,2.0,4.0,4.0,25.0,19.9,2023-03-02,0.8289124668435013,19.0,kristaps_porzingis,0.24352469959946593
39.0,1.0,9.0,14.0,0.643,2.0,2.0,1.0,2.0,3.0,0.667,1.0,10.0,11.0,4.0,2.0,2.0,3.0,1.0,22.0,21.9,2023-03-04,0.7180156657963447,17.0,kristaps_porzingis,0.24615384615384617
36.0,1.0,11.0,29.0,0.379,1.0,8.0,0.125,1.0,1.0,1.0,5.0,8.0,13.0,5.0,0.0,2.0,1.0,4.0,24.0,16.3,2023-03-05,0.4076086956521739,30.0,kristaps_porzingis,0.37037037037037035
31.0,1.0,8.0,15.0,0.533,3.0,7.0,0.429,5.0,6.0,0.833,4.0,3.0,7.0,2.0,0.0,0.0,1.0,6.0,24.0,18.0,2023-03-07,0.6802721088435374,21.0,kristaps_porzingis,0.3870967741935484
37.0,1.0,17.0,22.0,0.773,7.0,10.0,0.7,2.0,3.0,0.667,0.0,5.0,5.0,5.0,0.0,0.0,1.0,5.0,43.0,36.0,2023-03-08,0.9219554030874786,25.0,kristaps_porzingis,0.34873583260680036
31.0,1.0,8.0,18.0,0.444,3.0,7.0,0.429,3.0,5.0,0.6,0.0,9.0,9.0,0.0,1.0,2.0,2.0,4.0,22.0,13.3,2023-03-10,0.5445544554455446,23.0,kristaps_porzingis,0.3457563419981209
25.0,1.0,4.0,15.0,0.267,0.0,3.0,0.0,1.0,2.0,0.5,1.0,5.0,6.0,1.0,1.0,2.0,1.0,4.0,9.0,2.4,2023-03-12,0.2833753148614609,17.0,kristaps_porzingis,0.35478260869565215
30.0,1.0,5.0,15.0,0.333,0.0,6.0,0.0,8.0,8.0,1.0,1.0,6.0,7.0,4.0,3.0,4.0,1.0,2.0,18.0,18.8,2023-03-14,0.4859611231101512,23.0,kristaps_porzingis,0.4779220779220779
31.0,1.0,7.0,16.0,0.438,1.0,5.0,0.2,5.0,5.0,1.0,0.0,9.0,9.0,3.0,2.0,2.0,4.0,1.0,20.0,15.4,2023-03-17,0.5494505494505495,21.0,kristaps_porzingis,0.3825426944971537
38.0,1.0,12.0,22.0,0.545,3.0,7.0,0.429,3.0,3.0,1.0,1.0,5.0,6.0,3.0,1.0,2.0,2.0,3.0,30.0,22.9,2023-03-21,0.6432246998284734,25.0,kristaps_porzingis,0.3508771929824561
22.0,1.0,11.0,17.0,0.647,1.0,3.0,0.333,2.0,2.0,1.0,0.0,3.0,3.0,2.0,0.0,0.0,1.0,3.0,25.0,17.6,2023-03-22,0.6991051454138703,19.0,kristaps_porzingis,0.47648902821316613
27.0,1.0,7.0,11.0,0.636,2.0,3.0,0.667,7.0,7.0,1.0,1.0,8.0,9.0,5.0,0.0,3.0,1.0,0.0,23.0,25.8,2023-03-24,0.8167613636363636,18.0,kristaps_porzingis,0.3018867924528302
33.0,1.0,9.0,17.0,0.529,4.0,7.0,0.571,4.0,5.0,0.8,1.0,5.0,6.0,2.0,2.0,0.0,3.0,2.0,26.0,19.1,2023-03-26,0.6770833333333334,22.0,kristaps_porzingis,0.32
33.0,1.0,14.0,21.0,0.667,3.0,5.0,0.6,1.0,1.0,1.0,2.0,11.0,13.0,6.0,1.0,1.0,0.0,1.0,32.0,33.1,2023-03-28,0.7462686567164178,22.0,kristaps_porzingis,0.2882882882882883
